path,molecule,proxy,target,qed,pka,num_reactions,num_non_unary_reactions,mode,similarity,ligand,ligand_IC50(nM),ligand_EC50,ligand_Activation at 3 uM,ligand_Activation at 3 uM (confirmatory_assay_AID_651783.csv)
"['O=C[C@@H]1Cc2c(F)cccc2C1=O', ('[Ch:2]([#6:3])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][Nh:1]-[Ch:2]-[#6:3]', 'Cc1cccc(C2(N)COC2)c1'), 'Cc1cccc(C2(NC[C@@H]3Cc4c(F)cccc4C3=O)COC2)c1']",Cc1cccc(C2(NC[C@@H]3Cc4c(F)cccc4C3=O)COC2)c1,8.721247673034668,9.0,0.9390143156051636,1.0,1,1,76,0.2898550724637681,CC[C@@]1(c2cccc(C)c2)C(=O)N(C(=O)OC)N1C(=O)OC,,,10.59,
"['NC[C@@H]1C[C@H]1c1ccccc1F', ('[Nh2:2]-[#6&!$(C=[O,N]):3].[C:1](=[O])[Oh] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'O=C1C[C@@H](c2cccc(Cl)c2)[C@H](C(=O)O)N1'), 'O=C1C[C@@H](c2cccc(Cl)c2)[C@H](CNC[C@@H]2C[C@H]2c2ccccc2F)N1']",O=C1C[C@@H](c2cccc(Cl)c2)[C@H](CNC[C@@H]2C[C@H]2c2ccccc2F)N1,8.721212387084961,9.699999809265137,0.8083702325820923,1.0,1,1,716,0.3076923076923077,O=C1Cc2ccccc2C(c2ccc(Cl)cc2Cl)N1,,,11.17,
"['O=C(O)[C@@H]1[C@H]2Cc3c(Cl)cccc3[C@H]21', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'Cc1ccc2c(c1)[C@H](N)[C@@H](C)C2'), 'Cc1ccc2c(c1)[C@H](NC[C@@H]1[C@H]3Cc4c(Cl)cccc4[C@@H]13)[C@@H](C)C2']",Cc1ccc2c(c1)[C@H](NC[C@@H]1[C@H]3Cc4c(Cl)cccc4[C@@H]13)[C@@H](C)C2,8.721199035644531,9.600000381469728,0.8252963423728943,1.0,1,1,120,0.24691358024691357,Cc1ccc(C)c(CN2CCC(CNC(=O)Nc3cccc(Cl)c3C)CC2)c1,,,9.83,
"['O=C(O)[C@@H]1COc2cccc(Cl)c2C1', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'CC1(C)C[C@H](N)c2cc(F)ccc2O1'), 'CC1(C)C[C@H](NC[C@@H]2COc3cccc(Cl)c3C2)c2cc(F)ccc2O1']",CC1(C)C[C@H](NC[C@@H]2COc3cccc(Cl)c3C2)c2cc(F)ccc2O1,8.721169471740723,9.600000381469728,0.8252906799316406,1.0,1,1,29,0.26373626373626374,C[C@@]12C(=O)N(Cc3ccc(F)cc3)CC(=O)N1[C@H]1c3cc(Cl)ccc3OC[C@@H]1[C@@H]2c1ccccc1,,,12.98,
"['O=C(O)c1ccc2c(c1)C=CCC2', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'N[C@@H]1C[C@H]1c1ccc(Cl)cc1'), 'Clc1ccc([C@@H]2C[C@H]2NCc2ccc3c(c2)C=CCC3)cc1']",Clc1ccc([C@@H]2C[C@H]2NCc2ccc3c(c2)C=CCC3)cc1,8.721111297607422,9.5,0.8427454829216003,1.0,1,1,354,0.2786885245901639,S=C(NCc1ccc(Cl)cc1)NC12CC3CC(CC(C3)C1)C2,,,15.07,
"['Cc1cc(C)c2c(c1)[C@@H](N)CCO2', ('[Nh2:2]-[#6&!$(C=[O,N]):3].[C:1](=[O])[Oh] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'Cc1cc(Cl)c(F)c(C(=O)O)c1'), 'Cc1cc(Cl)c(F)c(CN[C@H]2CCOc3c(C)cc(C)cc32)c1', ('[c:1]-[Cl] >> [c:1]-[C]#N', None), 'Cc1cc(C#N)c(F)c(CN[C@H]2CCOc3c(C)cc(C)cc32)c1']",Cc1cc(C#N)c(F)c(CN[C@H]2CCOc3c(C)cc(C)cc32)c1,8.721038818359375,9.100000381469728,0.9184459447860718,1.0,2,1,925,0.27848101265822783,Cc1cc(C)c2nc(SCC(=O)NCC3CCCO3)c(C#N)cc2c1,,,12.91,
"['O=C[C@H]1C[C@@H]1c1ccc2c(c1)C(=O)NC2', ('[Ch:2]([#6:3])=[O].[#6&!$(C=[O,N]):10]-[Nh:1](-[#6&!$(C=[O,N]):20]) >> [#6&!$(C=[O,N]):10]-[N:1](-[#6&!$(C=[O,N]):20])-[Ch:2]-[#6:3]', 'Fc1ccc(F)c(C2CCCN2)c1'), 'O=C1NCc2ccc([C@H]3C[C@@H]3CN3CCCC3c3cc(F)ccc3F)cc21']",O=C1NCc2ccc([C@H]3C[C@@H]3CN3CCCC3c3cc(F)ccc3F)cc21,8.72101879119873,9.300000190734863,0.8793637752532959,1.0,1,1,1063,0.30985915492957744,O=C1CC(c2cc(F)ccc2F)c2cc3c(cc2N1)CCC3,,,13.73,
"['C[C@@H]1CN[C@@H]2Cc3ccccc3[C@@H]2O1', ('[#6&!$(C=[O,N]):10]-[Nh:1](-[#6&!$(C=[O,N]):20]).[Ch:2]([#6:3])=[O] >> [#6&!$(C=[O,N]):10]-[N:1](-[#6&!$(C=[O,N]):20])-[Ch:2]-[#6:3]', 'CN1CCc2cc(CC=O)ccc21'), 'C[C@@H]1CN(CCc2ccc3c(c2)CCN3C)[C@@H]2Cc3ccccc3[C@@H]2O1']",C[C@@H]1CN(CCc2ccc3c(c2)CCN3C)[C@@H]2Cc3ccccc3[C@@H]2O1,8.72099781036377,9.5,0.8427234888076782,1.0,1,1,1064,0.28378378378378377,CS(=O)(=O)N1CCc2cc(C(=O)OCC(=O)c3ccccc3)ccc21,,,13.76,
"['NCCN1CCc2cc(F)ccc21', ('[Nh2:6]-[#6&!$(C=[O,N]):10].[Nh2:5]-[#6&!$(C=[O,N]):20] >> [Nh:5](-[#6&!$(C=[O,N]):20])-[C](=O)-[Nh:6]-[#6&!$(C=[O,N]):10]', 'NC1CCc2ccccc21'), 'O=C(NCCN1CCc2cc(F)ccc21)NC1CCc2ccccc21']",O=C(NCCN1CCc2cc(F)ccc21)NC1CCc2ccccc21,8.720871925354004,9.199999809265137,0.8985540866851807,1.0,1,1,722,0.41333333333333333,O=C(NC1CCc2ccccc21)c1cc(COc2ccc(F)cc2F)on1,,,8.84,
"['Cc1cccc2c1C[C@@H]1[C@@H](C(=O)O)[C@H]21', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'Cc1ccc([C@@H](N)CO)cc1F'), 'Cc1ccc([C@H](CO)NC[C@@H]2[C@H]3Cc4c(C)cccc4[C@@H]23)cc1F']",Cc1ccc([C@H](CO)NC[C@@H]2[C@H]3Cc4c(C)cccc4[C@@H]23)cc1F,8.720846176147461,9.300000190734863,0.8793288469314575,1.0,1,1,578,0.2916666666666667,Cc1ccc(C(NC(=O)N2CC(C)OC(C)C2)C(Cl)Cl)cc1F,,,21.57,
