"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL3221405";"";"None";"789.03";"1";"3.77";"7";"CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@@H](CC(C)C)N(C)C1=O";"CL";"'='";"170.0";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3225503";"Intrinsic clearance in human liver microsomes by LC-MS/MS analysis";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3217723";"1";"Scientific Literature";"Medchemcomm";"2012";"None";"";"";"";"170.0"
"CHEMBL3629735";"";"None";"499.55";"0";"4.27";"19e";"COc1cn(-c2ccc3c(c2F)C(C)(C)C(=O)N3CC2CC2)nc(-c2ccnn2-c2ccccc2)c1=O";"CL";"'<'";"1.0";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3630289";"Clearance in human liver microsomes at 1 uM up to 30 mins by liquid chromatography tandem mass spectrometry analysis";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3627678";"1";"Scientific Literature";"Bioorg Med Chem";"2015";"None";"";"";"";"1.0"
"CHEMBL3347683";"";"None";"418.53";"0";"3.87";"45";"CN1CCN(C(=O)Nc2cccc(-c3ccc4c(c3)sc3c(N)ncnc34)c2)CC1";"CL";"'='";"165.0";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3391338";"In vitro intrinsic clearance in human liver microsomes at 1 uM by LC-MS analysis";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3390844";"1";"Scientific Literature";"Medchemcomm";"2011";"None";"";"";"";"165.0"
"CHEMBL3410210";"";"None";"286.33";"0";"3.47";"9d";"Cc1ccc(C#Cc2ncn3c2COc2ccccc2-3)cc1";"CL";"'='";"32.0";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3412494";"Intrinsic clearance in human liver microsomes at 1 uM during 30 mins incubation";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3407448";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";"";"32.0"
"CHEMBL1946770";"";"None";"291.33";"0";"3.42";"15h";"Cc1cc(C#Cc2cn(-c3ccc(F)cc3)c(C)n2)ccn1";"CL";"'<'";"10.0";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3412494";"Intrinsic clearance in human liver microsomes at 1 uM during 30 mins incubation";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3407448";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";"";"10.0"
"CHEMBL3394931";"";"None";"437.89";"0";"2.66";"14";"COn1cc(CN2CCn3c(ccc(-n4cnc(C)c4)c3=O)C2=O)c2ccc(Cl)cc21";"CL";"'<'";"8.0";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3395846";"Apparent intrinsic clearance in human liver microsomes";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3392951";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";"8.0"
"CHEMBL3394933";"";"None";"435.92";"0";"3.63";"16";"CCn1cc(CN2CCn3c(ccc(-n4cnc(C)c4)c3=O)C2=O)c2cc(Cl)ccc21";"CL";"'='";"47.9";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3395846";"Apparent intrinsic clearance in human liver microsomes";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3392951";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";"47.9"
"CHEMBL3319438";"";"None";"355.46";"0";"4.24";"38";"CCCc1cc(-c2nc(-c3ccnc(OCCOC)c3)cs2)ccn1";"CL";"'='";"23.0";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3376398";"Intrinsic clearance in human liver microsomes";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3351699";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"23.0"
"CHEMBL3326114";"";"None";"364.43";"0";"3.96";"1";"COc1ccc(OC)c(Sc2ccc3nnc(-c4ccccc4)n3n2)c1";"CL";"'='";"159.0";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3367449";"Clearance in human liver microsomes";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3352207";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";"";"159.0"
"CHEMBL3326128";"";"None";"368.42";"0";"2.69";"15";"COc1ccc(OC)c(Sc2ccc3nnc(-c4cnn(C)c4)n3n2)c1";"CL";"'='";"42.0";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3367449";"Clearance in human liver microsomes";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3352207";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";"";"42.0"
"CHEMBL3104280";"";"None";"415.91";"0";"3.17";"16f";"CC(CSc1nc(N)nc(-c2c(Cl)cc3c4c(cccc24)COC3)n1)C(N)=O";"CL";"'='";"11.0";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3107808";"Intrinsic clearance in human liver microsomes at 5 uM by LC-MS/MS analysis";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3102824";"1";"Scientific Literature";"Bioorg Med Chem";"2014";"None";"";"";"";"11.0"
"CHEMBL3291337";"";"None";"282.39";"0";"3.35";"7";"Cn1c2c(c(=O)n1-c1ccccc1)[C@H]1CC[C@]2(C)C1(C)C";"CL";"'='";"3.6";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3291636";"Clearance in human liver microsomes at 1 uM";"A";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL2367379";"Liver microsome";"Homo sapiens";"TISSUE";"CHEMBL3286136";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2014";"None";"";"";"";"3.6"
