path,molecule,proxy,target,qed,pka,num_reactions,num_non_unary_reactions,mode,similarity,ligand,ligand_IC50(nM),ligand_EC50,ligand_Activation at 3 uM,ligand_Activation at 3 uM (confirmatory_assay_AID_651783.csv)
"['O=C(O)[C@H]1Cc2ccc(F)cc21', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'N[C@H]1CCc2[nH]ncc2C1'), 'Fc1ccc2c(c1)[C@@H](CN[C@H]1CCc3[nH]ncc3C1)C2']",Fc1ccc2c(c1)[C@@H](CN[C@H]1CCc3[nH]ncc3C1)C2,9.672774314880373,10.199999809265137,0.8992941975593567,1.0,1,1,504,0.27692307692307694,CCCN1CCC[C@@H]2Cc3[nH]ncc3C[C@H]21,,,14.17,
"['O=C(O)[C@H]1Cc2cccc3cccc1c23', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'NC[C@H](O)c1ccc(F)cc1'), 'O[C@@H](CNC[C@H]1Cc2cccc3cccc1c23)c1ccc(F)cc1']",O[C@@H](CNC[C@H]1Cc2cccc3cccc1c23)c1ccc(F)cc1,9.672497749328612,11.199999809265137,0.7458323240280151,1.0,1,1,294,0.3404255319148936,O[C@@H](CNC[C@H](O)c1ccccc1)c1ccccc1,,,19.16,
"['O=C(O)C[C@@H]1CCCc2cc(O)ccc21', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'NC1CCC[C@@H]2CC[C@H]12'), 'Oc1ccc2c(c1)CCC[C@H]2CCNC1CCC[C@@H]2CC[C@H]12']",Oc1ccc2c(c1)CCC[C@H]2CCNC1CCC[C@@H]2CC[C@H]12,9.672371864318848,10.399999618530272,0.864966630935669,1.0,1,1,40,0.296875,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,,,14.86,
"['O=C(O)[C@H]1Cc2ccc(F)cc21', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'CC(N)c1ccnc(Br)c1'), 'CC(NC[C@H]1Cc2ccc(F)cc21)c1ccnc(Br)c1', ('[c:1]-[Br] >> [c:1]-[I]', None), 'CC(NC[C@H]1Cc2ccc(F)cc21)c1ccnc(I)c1', ('[c:1]-[I] >> [c:1]-[Cl]', None), 'CC(NC[C@H]1Cc2ccc(F)cc21)c1ccnc(Cl)c1']",CC(NC[C@H]1Cc2ccc(F)cc21)c1ccnc(Cl)c1,9.672170639038086,10.399999618530272,0.8649305105209351,1.0,3,1,178,0.27941176470588236,CN1CCN(C2Cc3ccc(Cl)cc3Sc3ccc(F)cc32)CC1,,,35.86,
"['O=C(O)c1ccc2c(c1)[C@H]1C=C[C@@H]2C1', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'NC1COc2ccc(Br)cc21'), 'Brc1ccc2c(c1)C(NCc1ccc3c(c1)[C@H]1C=C[C@@H]3C1)CO2', ('[c:1]-[Br] >> [c:1]-[Oh]', None), 'Oc1ccc2c(c1)C(NCc1ccc3c(c1)[C@H]1C=C[C@@H]3C1)CO2']",Oc1ccc2c(c1)C(NCc1ccc3c(c1)[C@H]1C=C[C@@H]3C1)CO2,9.672120094299316,10.5,0.8485252261161804,1.0,2,1,358,0.3220338983050847,Oc1ccc(CNCC2COc3ccccc3O2)cc1,,,37.67,
"['O=C(O)[C@@H]1[C@H]2Cc3c(F)cccc3[C@H]21', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'NCc1cc(I)c(F)cc1F'), 'Fc1cc(F)c(CNC[C@@H]2[C@H]3Cc4c(F)cccc4[C@@H]23)cc1I', ('[c:1]-[I] >> [c:1]-[Nh2]', None), 'Nc1cc(CNC[C@@H]2[C@H]3Cc4c(F)cccc4[C@@H]23)c(F)cc1F']",Nc1cc(CNC[C@@H]2[C@H]3Cc4c(F)cccc4[C@@H]23)c(F)cc1F,9.671823501586914,10.5,0.8484732508659363,1.0,2,1,86,0.26229508196721313,COc1ccc(CCNCc2ccccc2F)cc1,,,13.72,
"['O=C(O)C[C@H]1CCCc2ccc(F)cc21', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'N[C@H]1CCCc2cnccc21'), 'Fc1ccc2c(c1)[C@@H](CCN[C@H]1CCCc3cnccc31)CCC2']",Fc1ccc2c(c1)[C@@H](CCN[C@H]1CCCc3cnccc31)CCC2,9.671621322631836,10.300000190734863,0.881706714630127,1.0,1,1,357,0.30303030303030304,O=[N+]([O-])c1ccc(CNC2CCCc3ccccc32)cc1,,,13.69,
"['O=C1C[C@@H](C(=O)O)Cc2ccccc21', ('[C:2]-[Oh:3].[Ch2:1]-[Br] >> [Ch2:1]-[O:3]-[C:2]', 'Cc1cc(CBr)cc(Cl)n1'), 'Cc1cc(COC(=O)[C@@H]2CC(=O)c3ccccc3C2)cc(Cl)n1', ('[c:1]-[Cl] >> [c:1]-[I]', None), 'Cc1cc(COC(=O)[C@@H]2CC(=O)c3ccccc3C2)cc(I)n1', ('[c:1]-[I] >> [c:1]-[Oh]', None), 'Cc1cc(COC(=O)[C@@H]2CC(=O)c3ccccc3C2)cc(O)n1']",Cc1cc(COC(=O)[C@@H]2CC(=O)c3ccccc3C2)cc(O)n1,9.67153263092041,10.300000190734863,0.8816904425621033,1.0,3,1,354,0.34375,CCCCOC(=O)C1Cc2ccccc2C(=O)O1,,,8.64,
"['O=C(O)[C@H]1C[C@@]12CCc1ccccc12', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'Cn1nc(CN)cc1F'), 'Cn1nc(CNC[C@H]2C[C@@]23CCc2ccccc23)cc1F']",Cn1nc(CNC[C@H]2C[C@@]23CCc2ccccc23)cc1F,9.671510696411133,10.0,0.9353812336921692,1.0,1,1,246,0.2857142857142857,CNC(=O)CN1C(=O)NC2(CCc3ccccc32)C1=O,,,10.31,
"['O=C(O)c1cccc2cc(O)ccc12', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'N[C@@H]1CC12CCCC2'), 'Oc1ccc2c(CN[C@@H]3CC34CCCC4)cccc2c1']",Oc1ccc2c(CN[C@@H]3CC34CCCC4)cccc2c1,9.67144012451172,10.300000190734863,0.8816735148429871,1.0,1,1,308,0.32142857142857145,Oc1ccc(Cl)cc1CNCc1cccc2ccccc12,,,16.24,
"['O=C(O)c1cccc2c1CCCC2=O', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'CC(CN)c1ccccc1'), 'CC(CNCc1cccc2c1CCCC2=O)c1ccccc1']",CC(CNCc1cccc2c1CCCC2=O)c1ccccc1,9.671062469482422,10.199999809265137,0.8989759087562561,1.0,1,1,427,0.37777777777777777,CNCC(C)c1ccccc1,3542.0,0.59791,83.56,94.35
"['O=C(O)c1ccc2c(c1)C1(CC2)CC1', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'NCc1cccc2c1OC(F)(F)O2'), 'FC1(F)Oc2cccc(CNCc3ccc4c(c3)C3(CC4)CC3)c2O1']",FC1(F)Oc2cccc(CNCc3ccc4c(c3)C3(CC4)CC3)c2O1,9.67104721069336,10.199999809265137,0.8989730477333069,1.0,1,1,3,0.31746031746031744,COc1ccccc1CNCc1ccc2c(c1)OCO2,,,8.52,
"['O=C1CCCc2cc(O)ccc21', ('[#6:3][C:2]([#6:4])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][N:1]-[C:2]([#6:3])[#6:4]', 'CC(CN)c1ccccc1'), 'CC(CNC1CCCc2cc(O)ccc21)c1ccccc1']",CC(CNC1CCCc2cc(O)ccc21)c1ccccc1,9.670746803283691,10.300000190734863,0.8815471529960632,1.0,1,1,46,0.45,OC(CNC1CCCc2ccccc21)COc1c(Cl)cccc1Cl,8843.0,1.575,69.02,
"['O[C@H]1CCc2cc(F)cc(F)c2C1', ('[C:2]-[Oh:3].[Ch2:1]-[Cl] >> [Ch2:1]-[O:3]-[C:2]', 'ClCc1ncc(Br)[nH]1'), 'Fc1cc(F)c2c(c1)CC[C@H](OCc1ncc(Br)[nH]1)C2', ('[c:1]-[Br] >> [c:1]-[I]', None), 'Fc1cc(F)c2c(c1)CC[C@H](OCc1ncc(I)[nH]1)C2']",Fc1cc(F)c2c(c1)CC[C@H](OCc1ncc(I)[nH]1)C2,9.67051887512207,10.699999809265137,0.8168306946754456,1.0,2,1,84,0.2375,O=C(NC1CCc2ccccc21)c1cc(COc2ccc(F)cc2F)on1,,,8.84,
"['O[C@@H]1CCc2cc(F)cc(F)c2C1', ('[C:2]-[Oh:3].[Ch2:1]-[Cl] >> [Ch2:1]-[O:3]-[C:2]', 'ClCc1ncc(Br)[nH]1'), 'Fc1cc(F)c2c(c1)CC[C@@H](OCc1ncc(Br)[nH]1)C2', ('[c:1]-[Br] >> [c:1]-[I]', None), 'Fc1cc(F)c2c(c1)CC[C@@H](OCc1ncc(I)[nH]1)C2']",Fc1cc(F)c2c(c1)CC[C@@H](OCc1ncc(I)[nH]1)C2,9.67051887512207,10.699999809265137,0.8168306946754456,1.0,2,1,84,0.2375,O=C(NC1CCc2ccccc21)c1cc(COc2ccc(F)cc2F)on1,,,8.84,
"['O=C(O)c1cccc2c(F)cccc12', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'N[C@H]1CCC[C@H]1F'), 'Fc1cccc2c(CN[C@H]3CCC[C@H]3F)cccc12']",Fc1cccc2c(CN[C@H]3CCC[C@H]3F)cccc12,9.6704740524292,10.300000190734863,0.8814973831176758,1.0,1,1,63,0.3392857142857143,OC1CCCC1NCc1ccnc2cc(Cl)ccc12,,,22.93,
"['O=C(O)C1=Cc2ccc(O)cc2CC1', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'CC(N)c1ccc(F)c(Br)c1'), 'CC(NCC1=Cc2ccc(O)cc2CC1)c1ccc(F)c(Br)c1', ('[c:1]-[Br] >> [c:1]-[Oh]', None), 'CC(NCC1=Cc2ccc(O)cc2CC1)c1ccc(F)c(O)c1']",CC(NCC1=Cc2ccc(O)cc2CC1)c1ccc(F)c(O)c1,9.670377731323242,10.800000190734863,0.801750659942627,1.0,2,1,297,0.30357142857142855,CC(NCc1ccccc1O)c1ccccc1,,,10.78,
"['O=CCc1cccc2ccccc12', ('[Ch:2]([#6:3])=[O].[#6&!$(C=[O,N]):10][Nh2:1] >> [#6&!$(C=[O,N]):10][Nh:1]-[Ch:2]-[#6:3]', 'NC[C@@H]1C[C@@H]2C[C@H]1CO2'), 'c1ccc2c(CCNC[C@@H]3C[C@@H]4C[C@H]3CO4)cccc2c1']",c1ccc2c(CCNC[C@@H]3C[C@@H]4C[C@H]3CO4)cccc2c1,9.670283317565918,10.5,0.8482030630111694,1.0,1,1,505,0.36,OCCNCc1cccc2ccccc12,,,8.82,
"['O=C(O)[C@H]1[C@@H]2Cc3ccc(F)cc3[C@@H]21', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'N[C@@H]1CC(F)(F)C[C@@H]1N'), 'N[C@H]1CC(F)(F)C[C@H]1NC[C@H]1[C@@H]2Cc3ccc(F)cc3[C@H]12']",N[C@H]1CC(F)(F)C[C@H]1NC[C@H]1[C@@H]2Cc3ccc(F)cc3[C@H]12,9.670226097106934,10.199999809265137,0.8988204598426819,1.0,1,1,50,0.23880597014925373,O=C1CC(c2cc(F)ccc2F)c2cc3c(cc2N1)CCC3,,,13.73,
"['O=C(O)c1ccc2c(c1)CCNC2', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'CC(N)c1cccc(F)n1'), 'CC(NCc1ccc2c(c1)CCNC2)c1cccc(F)n1']",CC(NCc1ccc2c(c1)CCNC2)c1cccc(F)n1,9.670129776000977,10.5,0.848176121711731,1.0,1,1,502,0.2833333333333333,COCC(C)NCc1cccc(C)c1,,,8.79,
"['O=C(O)[C@@H]1CCCc2cc(O)ccc21', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'CC(N)c1ccc(F)c(Br)c1'), 'CC(NC[C@@H]1CCCc2cc(O)ccc21)c1ccc(F)c(Br)c1', ('[c:1]-[Br] >> [c:1]-[Cl]', None), 'CC(NC[C@@H]1CCCc2cc(O)ccc21)c1ccc(F)c(Cl)c1', ('[c:1]-[Cl] >> [c:1]-[I]', None), 'CC(NC[C@@H]1CCCc2cc(O)ccc21)c1ccc(F)c(I)c1']",CC(NC[C@@H]1CCCc2cc(O)ccc21)c1ccc(F)c(I)c1,9.670022010803224,11.699999809265137,0.683098316192627,1.0,3,1,20,0.29850746268656714,CC(NC(=O)c1ccc(F)cc1)c1ccc2c(c1)CCCC2,,,13.49,
"['C[C@H](O)[C@@H]1CCCc2ccccc21', ('[#6&!$(C=[O]):1]-[Oh:2].[C:3](=[O:4])-[Oh] >> [C:3](=[O:4])-[O:2]-[#6&!$(C=[O]):1]', 'O=C(O)C1CCC2(CCC2)N1'), 'C[C@H](OC(=O)C1CCC2(CCC2)N1)[C@@H]1CCCc2ccccc21']",C[C@H](OC(=O)C1CCC2(CCC2)N1)[C@@H]1CCCc2ccccc21,9.670018196105955,10.399999618530272,0.8645456433296204,1.0,1,1,147,0.375,CC(C)[C@H](NC(=O)NC1CCCc2ccccc21)C(=O)O,,,14.76,
"['O=C(O)[C@H]1Cc2ccc(F)cc21', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'CC(N)c1cccc(N)n1'), 'CC(NC[C@H]1Cc2ccc(F)cc21)c1cccc(N)n1']",CC(NC[C@H]1Cc2ccc(F)cc21)c1cccc(N)n1,9.669621467590332,10.199999809265137,0.8987080454826355,1.0,1,1,66,0.2753623188405797,CCC(C)[C@H]1CN=C(N)N1CCc1cccc(F)c1,,,10.11,
"['O=C1C[C@@H](C(=O)O)Cc2ccccc21', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'CC(N)c1cccnc1'), 'CC(NC[C@@H]1CC(=O)c2ccccc2C1)c1cccnc1']",CC(NC[C@@H]1CC(=O)c2ccccc2C1)c1cccnc1,9.669414520263672,10.0,0.934975802898407,1.0,1,1,57,0.36363636363636365,CC1(C)CC(=O)C(C(c2cccnc2)C2C(=O)CC(C)(C)CC2=O)C(=O)C1,,,8.67,
"['O=C(O)c1ccc2c(c1)CCC=C2', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'NC1(O)CCc2ccccc21'), 'OC1(NCc2ccc3c(c2)CCC=C3)CCc2ccccc21']",OC1(NCc2ccc3c(c2)CCC=C3)CCc2ccccc21,9.66915798187256,10.5,0.848005473613739,1.0,1,1,224,0.3,O=C(CN1C(=O)NC2(CCc3ccccc32)C1=O)Nc1cc(Cl)cc(Cl)c1,,,18.95,
"['O=C(O)c1ccc2cccccc1-2', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'NCc1nc(C(F)(F)F)no1'), 'FC(F)(F)c1noc(CNCc2ccc3cccccc2-3)n1']",FC(F)(F)c1noc(CNCc2ccc3cccccc2-3)n1,9.668745040893556,10.800000190734863,0.8014799952507019,1.0,1,1,450,0.3442622950819672,O=C(NCc1nc(-c2ccccc2)no1)Nc1ccc(F)cc1,,,8.65,
"['O=C(O)c1ccc2c(c1)CCC=C2', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'NCc1cnc(F)c(Cl)c1'), 'Fc1ncc(CNCc2ccc3c(c2)CCC=C3)cc1Cl', ('[c:1]-[Cl] >> [c:1]-[Nh2]', None), 'Nc1cc(CNCc2ccc3c(c2)CCC=C3)cnc1F']",Nc1cc(CNCc2ccc3c(c2)CCC=C3)cnc1F,9.668737411499023,10.5,0.8479318618774414,1.0,2,1,226,0.26785714285714285,Fc1ccc(CNCc2cccc(Br)c2)cc1,,,11.36,
"['O=C(O)c1cccc2c1CCC21CC1', ('[C:1](=[O])[Oh].[Nh2:2]-[#6&!$(C=[O,N]):3] >> [C:1]-[Nh:2]-[#6&!$(C=[O,N]):3]', 'CC1(C)NC(=O)OC1CN'), 'CC1(C)NC(=O)OC1CNCc1cccc2c1CCC21CC1']",CC1(C)NC(=O)OC1CNCc1cccc2c1CCC21CC1,9.668736457824709,10.199999809265137,0.8985435962677002,1.0,1,1,506,0.2535211267605634,CNC(=O)CN1C(=O)NC2(CCc3ccccc32)C1=O,,,10.31,
"['O[C@H]1CCCc2c(F)cc(F)cc21', ('[#6&!$(C=[O]):1]-[Oh:2].[C:3](=[O:4])-[Oh] >> [C:3](=[O:4])-[O:2]-[#6&!$(C=[O]):1]', 'Cc1nc(CC(=O)O)[nH]c1C'), 'Cc1nc(CC(=O)O[C@H]2CCCc3c(F)cc(F)cc32)[nH]c1C']",Cc1nc(CC(=O)O[C@H]2CCCc3c(F)cc(F)cc32)[nH]c1C,9.668623924255373,10.300000190734863,0.8811601996421814,1.0,1,1,507,0.273972602739726,CCOC(=O)c1ccc2[nH]c3c(c2c1)CCCC3O,,,10.75,
"['Oc1ccc2c(F)cccc2n1', ('[#6&!$(C=[O]):1]-[Oh:2].[C:3](=[O:4])-[Oh] >> [C:3](=[O:4])-[O:2]-[#6&!$(C=[O]):1]', 'O=C(O)[C@H]1NC[C@@H]2CCC[C@@H]21'), 'O=C(Oc1ccc2c(F)cccc2n1)[C@H]1NC[C@@H]2CCC[C@@H]21']",O=C(Oc1ccc2c(F)cccc2n1)[C@H]1NC[C@@H]2CCC[C@@H]21,9.668302536010742,10.5,0.866407573223114,0.9785872101783752,1,1,508,0.3108108108108108,O=C(c1ccccc1F)N(Cc1nc2ccccc2c(=O)[nH]1)C1CCCC1,,,9.86,
"['N[C@@H]1CCc2ccc(O)cc2C1', ('[#6&!$(C=[O,N]):3]-[Nh2:1].[c:2]-[I] >> [#6&!$(C=[O,N]):3]-[Nh:1]-[c:2]', 'NCc1cc(I)c(F)cc1F'), 'NCc1cc(N[C@@H]2CCc3ccc(O)cc3C2)c(F)cc1F']",NCc1cc(N[C@@H]2CCc3ccc(O)cc3C2)c(F)cc1F,9.66822338104248,10.699999809265137,0.8164429664611816,1.0,1,1,509,0.27450980392156865,NC1CCc2cc(O)c(O)cc2C1,,,38.95,
