"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL386630";"TESTOSTERONE";"4.0";"288.43";"0";"3.88";"Testosterone";"C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O";"CL";"'='";"692.1";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3384354";"Intrinsic clearance in CD-1 mouse liver microsomes at 0.75 uM incubated for 5 mins prior to NADPH addition measured after 30 mins by LC/MS/MS analysis";"A";"BAO_0000019";"assay format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL3351564";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"0.6921"
"CHEMBL3357669";"";"None";"375.43";"0";"3.10";"59";"C[C@]12CCCO[C@@H]1[C@]1(COC(N)=N1)c1cc(-c3cccc(C#N)c3)ccc1O2";"CL";"'='";"47.0";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL3386430";"Clearance in mouse liver microsomes at 1 uM after 20 min in presence of NADPH";"A";"BAO_0000019";"assay format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"None";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL3352087";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";"";"47.0"
"CHEMBL406005";"";"None";"291.71";"0";"2.62";"45";"Cn1c(C#N)ccc1C(=O)NCc1c(F)cccc1Cl";"CL";"'='";"32.8";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL930323";"Intrinsic clearance in mouse liver microsome";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL1143090";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"32.8"
"CHEMBL2029687";"";"None";"477.47";"0";"4.04";"32";"COCCOc1cnc2ccc([C@H](C)n3nnc4ccn(-c5ccc(F)c(F)c5)c(=O)c43)cc2c1";"CL";"'='";"98.0";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL2034593";"Intrinsic clearance in mouse liver microsomes";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2029295";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"98.0"
"CHEMBL2070130";"";"None";"326.79";"0";"3.81";"19";"COc1cnc(-c2ccccn2)nc1NCc1ccccc1Cl";"CL";"'='";"704.0";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL2073253";"Intrinsic clearance in mouse liver microsomes at 0.05 uM by LC-MS analysis";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2069291";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"704.0"
"CHEMBL2070134";"";"None";"378.33";"0";"4.32";"23";"COc1cnc(-c2ccccn2)nc1NCc1ccc(F)cc1C(F)(F)F";"CL";"'='";"261.0";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL2073253";"Intrinsic clearance in mouse liver microsomes at 0.05 uM by LC-MS analysis";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2069291";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"261.0"
"CHEMBL2349349";"";"None";"338.44";"0";"2.97";"18d";"O=c1[nH]c(-c2cccc(NS(=O)(=O)c3cccs3)c2)cs1";"CL";"'='";"120.0";"mL.min-1.g-1";"";"";"";"";"";"";"";"";"0";"CHEMBL2351094";"Intrinsic clearance in mouse liver microsomes at 1 uM after 5 mins by LC/MS/MS analysis";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2346589";"1";"Scientific Literature";"J Med Chem";"2013";"None";"";"";"";"120.0"
"CHEMBL2011777";"";"None";"326.46";"0";"2.32";"28";"CC1(C)C[C@H](O)C[C@](C)(CNc2cccc(S(N)(=O)=O)c2)C1";"CL";"'='";"37.2";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL2015867";"Clearance in mouse liver microsomes at 1 uM";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2010786";"1";"Scientific Literature";"ACS Med Chem Lett";"2011";"None";"";"";"";"37.2"
"CHEMBL2012963";"";"None";"335.79";"0";"3.77";"2v";"O=C(NC1CC1)c1ccc(-n2cnc3c(Cl)cc(F)cc32)s1";"CL";"'>'";"72.0";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL2014784";"Clearance in mouse liver microsomes by LC-MS/MS analysis";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2010768";"1";"Scientific Literature";"ACS Med Chem Lett";"2011";"None";"";"";"";"72.0"
"CHEMBL2012966";"";"None";"301.35";"0";"3.12";"2y";"O=C(NC1CC1)c1ccc(-n2cnc3c(F)cccc32)s1";"CL";"'>'";"72.0";"mL.min-1.kg-1";"";"";"";"";"";"";"";"";"0";"CHEMBL2014784";"Clearance in mouse liver microsomes by LC-MS/MS analysis";"A";"BAO_0000251";"microsome format";"Mus musculus";"CHEMBL3559723";"Liver";"None";"Microsome";"";"";"";"CHEMBL613580";"Liver";"Mus musculus";"TISSUE";"CHEMBL2010768";"1";"Scientific Literature";"ACS Med Chem Lett";"2011";"None";"";"";"";"72.0"
